Flohmarkt,Datum
1,2013-10-06
1,2016-04-03
1,2016-04-24
1,2016-05-01
1,2016-05-22
1,2016-06-05
1,2016-07-02
1,2016-07-17
1,2016-08-07
1,2016-08-28
1,2016-09-04
1,2016-09-25
1,2016-10-02
1,2017-04-02
1,2017-04-23
1,2017-05-07
1,2017-05-21
1,2017-06-04
1,2017-07-02
1,2017-07-16
1,2017-08-06
1,2017-08-27
1,2017-09-03
1,2017-09-24
1,2017-10-01
1,2018-04-01
1,2018-04-22
1,2018-05-06
1,2018-05-25
1,2018-06-03
1,2018-07-01
1,2018-07-15
1,2018-08-05
1,2018-09-02
1,2018-09-30
1,2019-04-07
1,2019-04-28
1,2019-05-05
1,2019-05-26
1,2019-06-02
1,2013-10-06
1,2016-04-03
1,2016-04-24
1,2016-05-01
1,2016-05-22
1,2016-06-05
1,2016-07-02
1,2016-07-17
1,2016-08-07
1,2016-08-28
1,2016-09-04
1,2016-09-25
1,2016-10-02
1,2017-04-02
1,2017-04-23
1,2017-05-07
1,2017-05-21
1,2017-06-04
1,2017-07-02
1,2017-07-16
1,2017-08-06
1,2017-08-27
1,2017-09-03
1,2017-09-24
1,2017-10-01
1,2018-04-01
1,2018-04-22
1,2018-05-06
1,2018-05-25
1,2018-06-03
1,2018-07-01
1,2018-07-15
1,2018-08-05
1,2018-09-02
1,2018-09-30
1,2019-04-07
1,2019-04-28
1,2019-05-05
1,2019-05-26
1,2019-06-02
1,2013-10-06
1,2016-04-03
1,2016-04-24
1,2016-05-01
1,2016-05-22
1,2016-06-05
1,2016-07-02
1,2016-07-17
1,2016-08-07
1,2016-08-28
1,2016-09-04
1,2016-09-25
1,2016-10-02
1,2017-04-02
1,2017-04-23
1,2017-05-07
1,2017-05-21
1,2017-06-04
1,2017-07-02
1,2017-07-16
1,2017-08-06
1,2017-08-27
1,2017-09-03
1,2017-09-24
1,2017-10-01
1,2018-04-01
1,2018-04-22
1,2018-05-06
1,2018-05-25
1,2018-06-03
1,2018-07-01
1,2018-07-15
1,2018-08-05
1,2018-09-02
1,2018-09-30
1,2019-04-07
1,2019-04-28
1,2019-05-05
1,2019-05-26
1,2019-06-02
1,2013-10-06
1,2016-04-03
1,2016-04-24
1,2016-05-01
1,2016-05-22
1,2016-06-05
1,2016-07-02
1,2016-07-17
1,2016-08-07
1,2016-08-28
1,2016-09-04
1,2016-09-25
1,2016-10-02
1,2017-04-02
1,2017-04-23
1,2017-05-07
1,2017-05-21
1,2017-06-04
1,2017-07-02
1,2017-07-16
1,2017-08-06
1,2017-08-27
1,2017-09-03
1,2017-09-24
1,2017-10-01
1,2018-04-01
1,2018-04-22
1,2018-05-06
1,2018-05-25
1,2018-06-03
1,2018-07-01
1,2018-07-15
1,2018-08-05
1,2018-09-02
1,2018-09-30
1,2019-04-07
1,2019-04-28
1,2019-05-05
1,2019-05-26
1,2019-06-02
1,2013-10-06
1,2016-04-03
1,2016-04-24
1,2016-05-01
1,2016-05-22
1,2016-06-05
1,2016-07-02
1,2016-07-17
1,2016-08-07
1,2016-08-28
1,2016-09-04
1,2016-09-25
1,2016-10-02
1,2017-04-02
1,2017-04-23
1,2017-05-07
1,2017-05-21
1,2017-06-04
1,2017-07-02
1,2017-07-16
1,2017-08-06
1,2017-08-27
1,2017-09-03
1,2017-09-24
1,2017-10-01
1,2018-04-01
1,2018-04-22
1,2018-05-06
1,2018-05-25
1,2018-06-03
1,2018-07-01
1,2018-07-15
1,2018-08-05
1,2018-09-02
1,2018-09-30
1,2019-04-07
1,2019-04-28
1,2019-05-05
1,2019-05-26
1,2019-06-02
