"";"gefuehlteTemp";"Datum"
"1";1;2012-01-01
"2";1;2012-01-02
"3";1;2012-01-03
"4";1;2012-01-04
"5";1;2012-01-05
"6";1;2012-01-06
"7";1;2012-01-07
"8";1;2012-01-08
"9";1;2012-01-09
"10";1;2012-01-10
"11";1;2012-01-11
"12";1;2012-01-12
"13";1;2012-01-13
"14";1;2012-01-14
"15";1;2012-01-15
"16";1;2012-01-16
"17";1;2012-01-17
"18";1;2012-01-18
"19";1;2012-01-19
"20";1;2012-01-20
"21";1;2012-01-21
"22";1;2012-01-22
"23";1;2012-01-23
"24";1;2012-01-24
"25";0;2012-01-25
"26";1;2012-01-26
"27";0;2012-01-27
"28";0;2012-01-28
"29";0;2012-01-29
"30";0;2012-01-30
"31";0;2012-01-31
"32";0;2012-02-01
"33";0;2012-02-02
"34";0;2012-02-03
"35";0;2012-02-04
"36";0;2012-02-05
"37";0;2012-02-06
"38";0;2012-02-07
"39";0;2012-02-08
"40";0;2012-02-09
"41";0;2012-02-10
"42";0;2012-02-11
"43";0;2012-02-12
"44";0;2012-02-13
"45";1;2012-02-14
"46";1;2012-02-15
"47";1;2012-02-16
"48";1;2012-02-17
"49";1;2012-02-18
"50";1;2012-02-19
"51";1;2012-02-20
"52";1;2012-02-21
"53";1;2012-02-22
"54";1;2012-02-23
"55";1;2012-02-24
"56";1;2012-02-25
"57";1;2012-02-26
"58";1;2012-02-27
"59";1;2012-02-28
"60";1;2012-02-29
"61";1;2012-03-01
"62";1;2012-03-02
"63";1;2012-03-03
"64";1;2012-03-04
"65";1;2012-03-05
"66";1;2012-03-06
"67";1;2012-03-07
"68";1;2012-03-08
"69";1;2012-03-09
"70";1;2012-03-10
"71";1;2012-03-11
"72";1;2012-03-12
"73";1;2012-03-13
"74";1;2012-03-14
"75";1;2012-03-15
"76";2;2012-03-16
"77";1;2012-03-17
"78";1;2012-03-18
"79";1;2012-03-19
"80";1;2012-03-20
"81";2;2012-03-21
"82";2;2012-03-22
"83";2;2012-03-23
"84";1;2012-03-24
"85";2;2012-03-25
"86";1;2012-03-26
"87";2;2012-03-27
"88";2;2012-03-28
"89";1;2012-03-29
"90";1;2012-03-30
"91";1;2012-03-31
"92";1;2012-04-01
"93";1;2012-04-02
"94";1;2012-04-03
"95";1;2012-04-04
"96";1;2012-04-05
"97";1;2012-04-06
"98";1;2012-04-07
"99";1;2012-04-08
"100";1;2012-04-09
"101";2;2012-04-10
"102";2;2012-04-11
"103";1;2012-04-12
"104";1;2012-04-13
"105";1;2012-04-14
"106";1;2012-04-15
"107";1;2012-04-16
"108";1;2012-04-17
"109";1;2012-04-18
"110";2;2012-04-19
"111";1;2012-04-20
"112";2;2012-04-21
"113";1;2012-04-22
"114";1;2012-04-23
"115";2;2012-04-24
"116";2;2012-04-25
"117";2;2012-04-26
"118";2;2012-04-27
"119";1;2012-04-28
"120";2;2012-04-29
"121";2;2012-04-30
"122";2;2012-05-01
"123";2;2012-05-02
"124";2;2012-05-03
"125";2;2012-05-04
"126";2;2012-05-05
"127";1;2012-05-06
"128";1;2012-05-07
"129";2;2012-05-08
"130";2;2012-05-09
"131";2;2012-05-10
"132";2;2012-05-11
"133";1;2012-05-12
"134";2;2012-05-13
"135";2;2012-05-14
"136";2;2012-05-15
"137";1;2012-05-16
"138";2;2012-05-17
"139";2;2012-05-18
"140";2;2012-05-19
"141";2;2012-05-20
"142";2;2012-05-21
"143";2;2012-05-22
"144";2;2012-05-23
"145";2;2012-05-24
"146";2;2012-05-25
"147";3;2012-05-26
"148";2;2012-05-27
"149";3;2012-05-28
"150";2;2012-05-29
"151";2;2012-05-30
"152";2;2012-05-31
"153";2;2012-06-01
"154";2;2012-06-02
"155";2;2012-06-03
"156";2;2012-06-04
"157";2;2012-06-05
"158";2;2012-06-06
"159";2;2012-06-07
"160";2;2012-06-08
"161";2;2012-06-09
"162";2;2012-06-10
"163";2;2012-06-11
"164";2;2012-06-12
"165";2;2012-06-13
"166";2;2012-06-14
"167";2;2012-06-15
"168";2;2012-06-16
"169";2;2012-06-17
"170";2;2012-06-18
"171";2;2012-06-19
"172";2;2012-06-20
"173";2;2012-06-21
"174";2;2012-06-22
"175";2;2012-06-23
"176";2;2012-06-24
"177";2;2012-06-25
"178";2;2012-06-26
"179";2;2012-06-27
"180";2;2012-06-28
"181";3;2012-06-29
"182";3;2012-06-30
"183";2;2012-07-01
"184";2;2012-07-02
"185";3;2012-07-03
"186";2;2012-07-04
"187";2;2012-07-05
"188";2;2012-07-06
"189";3;2012-07-07
"190";3;2012-07-08
"191";2;2012-07-09
"192";2;2012-07-10
"193";2;2012-07-11
"194";2;2012-07-12
"195";2;2012-07-13
"196";2;2012-07-14
"197";2;2012-07-15
"198";2;2012-07-16
"199";2;2012-07-17
"200";2;2012-07-18
"201";2;2012-07-19
"202";2;2012-07-20
"203";2;2012-07-21
"204";2;2012-07-22
"205";3;2012-07-23
"206";3;2012-07-25
"207";3;2012-07-26
"208";3;2012-07-27
"209";2;2012-07-28
"210";2;2012-07-29
"211";2;2012-07-30
"212";2;2012-07-31
"213";3;2012-08-01
"214";3;2012-08-02
"215";3;2012-08-03
"216";2;2012-08-04
"217";3;2012-08-05
"218";2;2012-08-06
"219";2;2012-08-07
"220";2;2012-08-08
"221";2;2012-08-09
"222";2;2012-08-10
"223";2;2012-08-11
"224";2;2012-08-12
"225";3;2012-08-13
"226";3;2012-08-14
"227";3;2012-08-15
"228";2;2012-08-16
"229";3;2012-08-17
"230";3;2012-08-18
"231";3;2012-08-19
"232";3;2012-08-20
"233";3;2012-08-21
"234";3;2012-08-22
"235";2;2012-08-23
"236";2;2012-08-24
"237";2;2012-08-25
"238";2;2012-08-26
"239";2;2012-08-27
"240";2;2012-08-28
"241";3;2012-08-29
"242";2;2012-08-30
"243";2;2012-08-31
"244";2;2012-09-01
"245";2;2012-09-02
"246";2;2012-09-03
"247";3;2012-09-04
"248";2;2012-09-05
"249";2;2012-09-06
"250";2;2012-09-07
"251";2;2012-09-08
"252";3;2012-09-09
"253";3;2012-09-10
"254";2;2012-09-11
"255";2;2012-09-12
"256";2;2012-09-13
"257";2;2012-09-14
"258";2;2012-09-15
"259";2;2012-09-16
"260";2;2012-09-17
"261";2;2012-09-18
"262";2;2012-09-19
"263";2;2012-09-20
"264";2;2012-09-21
"265";2;2012-09-22
"266";2;2012-09-23
"267";2;2012-09-24
"268";2;2012-09-25
"269";2;2012-09-26
"270";2;2012-09-27
"271";2;2012-09-28
"272";2;2012-09-29
"273";2;2012-09-30
"274";2;2012-10-01
"275";2;2012-10-02
"276";2;2012-10-03
"277";2;2012-10-04
"278";1;2012-10-05
"279";2;2012-10-08
"280";2;2012-10-09
"281";2;2012-10-10
"282";2;2012-10-11
"283";2;2012-10-12
"284";1;2012-10-15
"285";2;2012-10-16
"286";2;2012-10-17
"287";2;2012-10-18
"288";2;2012-10-19
"289";2;2012-10-22
"290";2;2012-10-23
"291";2;2012-10-24
"292";1;2012-10-25
"293";1;2012-10-26
"294";1;2012-10-29
"295";1;2012-10-30
"296";1;2012-10-31
"297";1;2012-11-01
"298";1;2012-11-02
"299";1;2012-11-05
"300";1;2012-11-06
"301";2;2012-11-07
"302";1;2012-11-08
"303";1;2012-11-09
"304";1;2012-11-12
"305";1;2012-11-13
"306";1;2012-11-14
"307";1;2012-11-15
"308";0;2012-11-16
"309";1;2012-11-19
"310";1;2012-11-20
"311";1;2012-11-21
"312";1;2012-11-22
"313";1;2012-11-23
"314";1;2012-11-26
"315";1;2012-11-27
"316";1;2012-11-28
"317";1;2012-11-29
"318";1;2012-11-30
"319";1;2012-12-03
"320";1;2012-12-04
"321";0;2012-12-05
"322";0;2012-12-06
"323";0;2012-12-07
"324";1;2012-12-10
"325";0;2012-12-11
"326";0;2012-12-12
"327";0;2012-12-13
"328";0;2012-12-14
"329";1;2012-12-17
"330";1;2012-12-18
"331";1;2012-12-19
"332";1;2012-12-20
"333";0;2012-12-21
"334";2;2013-04-30
"335";1;2013-05-01
"336";2;2013-05-02
"337";2;2013-05-03
"338";2;2013-05-04
"339";2;2013-05-05
"340";2;2013-05-06
"341";2;2013-05-07
"342";2;2013-05-08
"343";2;2013-05-09
"344";2;2013-05-10
"345";2;2013-05-11
"346";2;2013-05-12
"347";2;2013-05-13
"348";2;2013-05-14
"349";3;2013-05-15
"350";2;2013-05-16
"351";3;2013-05-17
"352";2;2013-05-18
"353";2;2013-05-19
"354";2;2013-05-20
"355";2;2013-05-21
"356";1;2013-05-22
"357";2;2013-05-23
"358";2;2013-05-24
"359";2;2013-05-25
"360";2;2013-05-26
"361";2;2013-05-27
"362";2;2013-05-28
"363";2;2013-05-29
"364";2;2013-05-30
"365";2;2013-05-31
"366";3;2013-06-01
"367";2;2013-06-02
"368";2;2013-06-03
"369";2;2013-06-04
"370";2;2013-06-05
"371";3;2013-06-06
"372";2;2013-06-07
"373";2;2013-06-08
"374";2;2013-06-09
"375";2;2013-06-10
"376";2;2013-06-11
"377";3;2013-06-12
"378";2;2013-06-14
"379";2;2013-06-15
"380";2;2013-06-16
"381";2;2013-06-17
"382";3;2013-06-18
"383";3;2013-06-19
"384";3;2013-06-20
"385";2;2013-06-21
"386";2;2013-06-22
"387";2;2013-06-23
"388";2;2013-06-24
"389";2;2013-06-25
"390";2;2013-06-26
"391";2;2013-06-27
"392";2;2013-06-28
"393";2;2013-06-29
"394";2;2013-06-30
"395";2;2013-07-01
"396";2;2013-07-02
"397";3;2013-07-03
"398";2;2013-07-04
"399";2;2013-07-05
"400";2;2013-07-06
"401";3;2013-07-07
"402";3;2013-07-08
"403";3;2013-07-09
"404";2;2013-07-10
"405";3;2013-07-11
"406";3;2013-07-12
"407";3;2013-07-13
"408";2;2013-07-14
"409";2;2013-07-15
"410";3;2013-07-16
"411";3;2013-07-17
"412";3;2013-07-18
"413";3;2013-07-19
"414";3;2013-07-20
"415";3;2013-07-21
"416";3;2013-07-22
"417";3;2013-07-23
"418";3;2013-07-24
"419";3;2013-07-25
"420";3;2013-07-26
"421";3;2013-07-27
"422";3;2013-07-28
"423";3;2013-07-29
"424";3;2013-07-30
"425";3;2013-07-31
"426";3;2013-08-01
"427";3;2013-08-02
"428";3;2013-08-03
"429";3;2013-08-04
"430";3;2013-08-05
"431";3;2013-08-06
"432";2;2013-08-07
"433";2;2013-08-08
"434";3;2013-08-09
"435";2;2013-08-10
"436";2;2013-08-11
"437";2;2013-08-12
"438";2;2013-08-13
"439";2;2013-08-14
"440";2;2013-08-15
"441";3;2013-08-16
"442";3;2013-08-17
"443";2;2013-08-18
"444";2;2013-08-19
"445";2;2013-08-20
"446";3;2013-08-21
"447";3;2013-08-22
"448";3;2013-08-23
"449";3;2013-08-24
"450";3;2013-08-25
"451";3;2013-08-26
"452";3;2013-08-27
"453";3;2013-08-28
"454";3;2013-08-29
"455";2;2013-08-30
"456";2;2013-08-31
"457";2;2013-09-01
"458";2;2013-09-02
"459";2;2013-09-03
"460";2;2013-09-04
"461";3;2013-09-05
"462";3;2013-09-06
"463";3;2013-09-07
"464";3;2013-09-08
"465";2;2013-09-09
"466";2;2013-09-10
"467";2;2013-09-11
"468";2;2013-09-12
"469";2;2013-09-13
"470";2;2013-09-14
"471";2;2013-09-15
"472";2;2013-09-16
"473";2;2013-09-17
"474";2;2013-09-18
"475";2;2013-09-19
"476";2;2013-09-20
"477";2;2013-09-21
"478";2;2013-09-22
"479";2;2013-09-23
"480";2;2013-09-24
"481";2;2013-09-25
"482";2;2013-09-26
"483";2;2013-09-27
"484";2;2013-09-28
"485";2;2013-09-29
"486";2;2013-09-30
"487";2;2013-10-01
"488";2;2013-10-02
"489";2;2013-10-03
"490";2;2013-10-04
"491";2;2013-10-05
"492";2;2013-10-06
"493";2;2013-10-07
"494";2;2013-10-08
"495";2;2013-10-09
"496";2;2013-10-10
"497";2;2013-10-11
"498";2;2013-10-12
"499";2;2013-10-13
"500";2;2013-10-14
"501";2;2013-10-15
"502";2;2013-10-16
"503";2;2013-10-17
"504";1;2013-10-18
"505";1;2013-10-19
"506";2;2013-10-20
"507";2;2013-10-21
"508";2;2013-10-22
"509";2;2013-10-23
"510";2;2013-10-24
"511";2;2013-10-25
"512";2;2013-10-26
"513";2;2013-10-27
"514";2;2013-10-28
"515";2;2013-10-29
"516";2;2013-10-30
"517";2;2013-10-31
"518";2;2013-11-01
"519";1;2013-11-02
"520";2;2013-11-03
"521";1;2013-11-04
"522";1;2013-11-05
"523";1;2013-11-06
"524";1;2013-11-07
"525";1;2013-11-08
"526";1;2013-11-09
"527";1;2013-11-10
"528";1;2013-11-11
"529";1;2013-11-12
"530";1;2013-11-13
"531";1;2013-11-14
"532";1;2013-11-15
"533";1;2013-11-16
"534";1;2013-11-17
"535";1;2013-11-18
"536";1;2013-11-19
"537";1;2013-11-20
"538";1;2013-11-21
"539";1;2013-11-22
"540";1;2013-11-23
"541";1;2013-11-24
"542";1;2013-11-25
"543";1;2013-11-26
"544";1;2013-11-27
"545";1;2013-11-28
"546";1;2013-11-29
"547";1;2013-11-30
"548";1;2013-12-01
"549";1;2013-12-02
"550";1;2013-12-03
"551";1;2013-12-04
"552";1;2013-12-05
"553";1;2013-12-06
"554";1;2013-12-07
"555";1;2013-12-08
"556";1;2013-12-09
"557";1;2013-12-10
"558";1;2013-12-11
"559";1;2013-12-12
"560";1;2013-12-13
"561";1;2013-12-14
"562";1;2013-12-15
"563";1;2013-12-16
"564";1;2013-12-17
"565";1;2013-12-18
"566";1;2013-12-19
"567";1;2013-12-20
"568";1;2013-12-21
"569";1;2013-12-22
"570";1;2013-12-23
"571";2;2013-12-24
"572";1;2013-12-25
"573";1;2013-12-26
"574";1;2013-12-27
"575";1;2013-12-28
"576";1;2013-12-29
"577";1;2013-12-30
"578";1;2013-12-31
"579";1;2014-01-01
"580";1;2014-01-02
"581";1;2014-01-03
"582";1;2014-01-04
"583";1;2014-01-05
"584";1;2014-01-06
"585";2;2014-01-07
"586";1;2014-01-08
"587";1;2014-01-09
"588";1;2014-01-10
"589";1;2014-01-11
"590";1;2014-01-12
"591";1;2014-01-13
"592";1;2014-01-14
"593";1;2014-01-15
"594";1;2014-01-16
"595";1;2014-01-17
"596";1;2014-01-18
"597";1;2014-01-19
"598";1;2014-01-20
"599";0;2014-01-21
"600";0;2014-01-22
"601";0;2014-01-23
"602";0;2014-01-24
"603";0;2014-01-25
"604";0;2014-01-26
"605";1;2014-01-27
"606";0;2014-01-28
"607";0;2014-01-29
"608";0;2014-01-30
"609";0;2014-01-31
"610";1;2014-02-01
"611";1;2014-02-02
"612";1;2014-02-03
"613";1;2014-02-04
"614";1;2014-02-05
"615";1;2014-02-06
"616";1;2014-02-07
"617";1;2014-02-08
"618";1;2014-02-09
"619";1;2014-02-10
"620";1;2014-02-11
"621";1;2014-02-12
"622";1;2014-02-13
"623";1;2014-02-14
"624";2;2014-02-15
"625";1;2014-02-16
"626";1;2014-02-17
"627";1;2014-02-18
"628";1;2014-02-19
"629";1;2014-02-20
"630";1;2014-02-21
"631";1;2014-02-22
"632";1;2014-02-23
"633";1;2014-02-24
"634";2;2014-02-25
"635";2;2014-02-26
"636";1;2014-02-27
"637";1;2014-02-28
"638";1;2014-03-01
"639";1;2014-03-02
"640";1;2014-03-03
"641";1;2014-03-04
"642";1;2014-03-05
"643";1;2014-03-06
"644";2;2014-03-07
"645";1;2014-03-08
"646";2;2014-03-09
"647";2;2014-03-10
"648";1;2014-03-11
"649";2;2014-03-12
"650";2;2014-03-13
"651";1;2014-03-14
"652";1;2014-03-15
"653";1;2014-03-16
"654";1;2014-03-17
"655";1;2014-03-18
"656";1;2014-03-19
"657";2;2014-03-20
"658";1;2014-03-21
"659";1;2014-03-22
"660";1;2014-03-23
"661";1;2014-03-24
"662";1;2014-03-25
"663";1;2014-03-26
"664";1;2014-03-27
"665";1;2014-03-28
"666";1;2014-03-29
"667";2;2014-03-30
"668";1;2014-03-31
"669";1;2014-04-01
"670";2;2014-04-02
"671";1;2014-04-03
"672";1;2014-04-04
"673";1;2014-04-05
"674";2;2014-04-06
"675";2;2014-04-07
"676";1;2014-04-08
"677";2;2014-04-09
"678";1;2014-04-10
"679";2;2014-04-11
"680";2;2014-04-12
"681";2;2014-04-13
"682";1;2014-04-14
"683";1;2014-04-15
"684";2;2014-04-16
"685";2;2014-04-17
"686";1;2014-04-18
"687";2;2014-04-19
"688";2;2014-04-20
"689";2;2014-04-21
"690";2;2014-04-22
"691";1;2014-04-23
"692";1;2014-04-24
"693";2;2014-04-25
"694";2;2014-04-26
"695";2;2014-04-27
"696";2;2014-04-28
"697";2;2014-04-29
"698";2;2014-04-30
"699";2;2014-05-01
"700";2;2014-05-02
"701";2;2014-05-03
"702";1;2014-05-04
"703";2;2014-05-05
"704";2;2014-05-06
"705";2;2014-05-07
"706";2;2014-05-08
"707";2;2014-05-09
"708";2;2014-05-10
"709";2;2014-05-11
"710";2;2014-05-12
"711";2;2014-05-13
"712";2;2014-05-14
"713";2;2014-05-15
"714";2;2014-05-16
"715";2;2014-05-17
"716";2;2014-05-18
"717";2;2014-05-19
"718";3;2014-05-20
"719";3;2014-05-21
"720";3;2014-05-22
"721";2;2014-05-23
"722";2;2014-05-24
"723";3;2014-05-25
"724";2;2014-05-26
"725";2;2014-05-27
"726";2;2014-05-28
"727";2;2014-05-29
"728";2;2014-05-30
"729";2;2014-05-31
"730";2;2014-06-01
"731";2;2014-06-02
"732";3;2014-06-03
"733";3;2014-06-04
"734";2;2014-06-05
"735";2;2014-06-06
"736";2;2014-06-07
"737";3;2014-06-08
"738";3;2014-06-09
"739";3;2014-06-10
"740";3;2014-06-11
"741";2;2014-06-12
"742";2;2014-06-13
"743";2;2014-06-14
"744";2;2014-06-15
"745";2;2014-06-16
"746";3;2014-06-17
"747";2;2014-06-18
"748";2;2014-06-19
"749";2;2014-06-20
"750";2;2014-06-21
"751";2;2014-06-22
"752";2;2014-06-23
"753";2;2014-06-24
"754";2;2014-06-25
"755";2;2014-06-26
"756";3;2014-06-27
"757";2;2014-06-28
"758";2;2014-06-29
"759";2;2014-06-30
"760";2;2014-07-01
